X,Y,Z,X_r,Y_r,Z_r,formation,series,id,order_series,smooth,group,X_s,Y_s,Z_s,T,is_new,
451562.84,6782422,-5612.8213,0.288102142,0.439727475,0.52889003,BCU,unconformity,3,3,1e-06,BCU,0.076004284,0.085991474,0.212100481,0,FALSE,
451490.28,6782598,-5608.139,0.280483654,0.458206718,0.529381651,BCU,unconformity,3,3,1e-06,BCU,0.060767308540351124,0.12294995905167948,0.2130837235673347,0,FALSE,
451264.06,6782327,-5604.2563,0.256731528,0.429752884,0.529789318,BCU,unconformity,3,3,1e-06,BCU,0.013263056214689884,0.066042292,0.2138990571386583,0,FALSE,
453657.88,6782223,-5353.1807,0.508072323,0.418833332,0.556151175,BCU,unconformity,3,3,1e-06,BCU,0.5159446462695015,0.044203187669305775,0.26662277146637114,0,FALSE,
453910.75,6782029.5,-5338.66,0.534622585,0.398516665,0.557675786,BCU,unconformity,3,3,1e-06,BCU,0.5690451691480628,0.003569854,0.2696719934482699,0,FALSE,
453375.84,6782030.5,-5392.196,0.478459337,0.398621661,0.552054736,BCU,unconformity,3,3,1e-06,BCU,0.45671867453434684,0.003779845,0.2584298943743319,0,FALSE,
452873.28,6782030,-5455.4614,0.425692701,0.398569163,0.545412142,BCU,unconformity,3,3,1e-06,BCU,0.35118540139854537,0.003674849,0.24514470506709338,0,FALSE,
452792.5,6782360.5,-5487.791,0.417211148,0.43327024,0.542017673,BCU,unconformity,3,3,1e-06,BCU,0.33422229688582444,0.073077004,0.23835576741353712,0,FALSE,
454027.62,6782393,-5305.703,0.546893431,0.4366826,0.561136129,BCU,unconformity,3,3,1e-06,BCU,0.5935868629386165,0.079901724,0.2765926797001335,0,FALSE,
454491.53,6782272,-5273.8228,0.595601984,0.423978121,0.564483413,BCU,unconformity,3,3,1e-06,BCU,0.691003969,0.054492766,0.28328724722286525,0,FALSE,
454749.56,6782029.5,-5289.002,0.622694024,0.398516665,0.562889662,BCU,unconformity,3,3,1e-06,BCU,0.7451880472900594,0.003569854,0.2800997459104189,0,FALSE,
454367.53,6782029.5,-5304.368,0.582582518,0.398516665,0.561276298,BCU,unconformity,3,3,1e-06,BCU,0.6649650364335105,0.003569854,0.27687301820625476,0,FALSE,
454851.22,6782271,-5262.92,0.633367886,0.423873125,0.56562816,BCU,unconformity,3,3,1e-06,BCU,0.7665357720333397,0.054282774,0.28557674135360583,0,FALSE,
455105.22,6782029.5,-5283.1973,0.660036793,0.398516665,0.563499131,BCU,unconformity,3,3,1e-06,BCU,0.8198735851830008,0.003569854,0.2813186829340011,0,FALSE,
455511.4,6782228.5,-5244.6553,0.702683944,0.419410808,0.567545875,BCU,unconformity,3,3,1e-06,BCU,0.9051678881165917,0.045358140316247256,0.28941217110098616,0,FALSE,
455955.94,6782029,-5244.7974,0.74935873,0.398464167,0.567530955,BCU,unconformity,3,3,1e-06,BCU,0.9985174607841083,0.003464858,0.289382331,0,FALSE,
455494.25,6782029.5,-5270.877,0.700883268,0.398516665,0.564792709,BCU,unconformity,3,3,1e-06,BCU,0.9015665357720328,0.003569854,0.28390584,0,FALSE,
455767.2,6782308.5,-5215.3633,0.729541843,0.427810464,0.570621409,BCU,unconformity,3,3,1e-06,BCU,0.9588836857688857,0.062157452,0.2955632389072062,0,FALSE,
455961,6782280,-5201.239,0.749890009,0.424818087,0.572104399,BCU,unconformity,3,3,1e-06,BCU,0.999580017,0.056172697,0.2985292203019691,0,FALSE,
453414.03,6782385,-5386.407,0.482469123,0.435842635,0.552662556,BCU,unconformity,3,3,1e-06,BCU,0.46473824573192823,0.078221793,0.2596455345330853,0,FALSE,
455215.62,6782268,-5252.574,0.671628317,0.423558138,0.566714445,BCU,unconformity,3,3,1e-06,BCU,0.8430566346779764,0.0536528,0.28774931227819806,0,FALSE,
452059.3,6782479.5,-5604.2974,0.340228305,0.445764728,0.529785002,BCU,unconformity,3,3,1e-06,BCU,0.1802566094790049,0.098065979,0.21389042649251472,0,FALSE,
455421.88,6782547,-5219.8975,0.693284729,0.452851937,0.570145337,BCU,unconformity,3,3,1e-06,BCU,0.8863694588521874,0.11224039814367666,0.2946110959450676,0,FALSE,
454482.25,6782530,-5258.5186,0.594627624,0.45106701,0.566090288,BCU,unconformity,3,3,1e-06,BCU,0.6890552487348004,0.10867054450767571,0.28650099745910546,0,FALSE,
451263.44,6783093,-5618.5947,0.256666431,0.510179587,0.528283847,BCU,unconformity,3,3,1e-06,BCU,0.013132861552672005,0.2268956972764128,0.21088811658722098,0,FALSE,
451582.97,6782930.5,-5617.874,0.290215705,0.493117786,0.528359518,BCU,unconformity,3,3,1e-06,BCU,0.080231411,0.19277209634405085,0.21103945738224836,0,FALSE,
451263.7,6782662,-5600.884,0.25669373,0.464926442,0.530143395,BCU,unconformity,3,3,1e-06,BCU,0.013187459314165739,0.13638940803427127,0.21460721110434572,0,FALSE,
453154.66,6782661.5,-5438.797,0.455236389,0.464873944,0.547161832,BCU,unconformity,3,3,1e-06,BCU,0.4102727788160603,0.13628441233909477,0.24864408559249196,0,FALSE,
455963,6782618,-5166.078,0.7501,0.460306632,0.575796153,BCU,unconformity,3,3,1e-06,BCU,1,0.1271497868587394,0.3059127275781707,0,FALSE,
455720.47,6782561.5,-5192.805,0.724635394,0.454374375,0.572989933,BCU,unconformity,3,3,1e-06,BCU,0.9490707880976819,0.11528527330379511,0.30030028768820616,0,FALSE,
