X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,G_t,dip,azimuth,polarity,formation,series,id,order_series,smooth,group,T,X_s,Y_s,Z_s
452322.1,6782459.5,-5575.0566,0.367821173,0.443664814,0.532855161,-0.13459288,0.07297747,0.98821,0,8.806881493,298.4669474,1,BCU,unconformity,3,3,0.01,BCU,0,0.23544234686376997,0.09386615148778946,0.22003074273954873
451789.38,6782354.5,-5610.9487,0.311887867,0.432640266,0.529086645,-0.020766338,0.046108864,0.9987205,0,2.898705489,335.7543292,1,BCU,unconformity,3,3,0.01,BCU,0,0.1235757333949275,0.07181705550072483,0.21249371075785994
451490.28,6782598.0,-5608.139,0.280483654,0.458206718,0.529381651,0.027991708,0.00090337,0.99960774,0,1.604866234,88.15154755,1,BCU,unconformity,3,3,0.01,BCU,0,0.060767308540351124,0.12294995905167948,0.2130837235673347
453910.75,6782029.5,-5338.66,0.534622585,0.398516665,0.557675786,-0.0917763,-0.059763208,0.99398464,0,6.287621433,236.9284908,1,BCU,unconformity,3,3,0.01,BCU,0,0.5690451691480628,0.0035698536360009416,0.2696719934482699
452792.5,6782360.5,-5487.791,0.417211148,0.43327024,0.542017673,-0.16646,0.06488548,0.98391104,0,10.2916645,291.295649,1,BCU,unconformity,3,3,0.01,BCU,0,0.33422229688582444,0.0730770038428428,0.23835576741353712
454749.56,6782029.5,-5289.002,0.622694024,0.398516665,0.562889662,-0.028878257,-0.10000242,0.99456805,0,5.974647633,196.1074261,1,BCU,unconformity,3,3,0.01,BCU,0,0.7451880472900594,0.0035698536360009416,0.2800997459104189
455105.22,6782029.5,-5283.1973,0.660036793,0.398516665,0.563499131,-0.025607336,-0.109197095,0.9936902,0,6.439824782,193.1977065,1,BCU,unconformity,3,3,0.01,BCU,0,0.8198735851830008,0.0035698536360009416,0.2813186829340011
455494.25,6782029.5,-5270.877,0.700883268,0.398516665,0.564792709,-0.051370896,-0.12642808,0.9906447,0,7.843423254,202.1131392,1,BCU,unconformity,3,3,0.01,BCU,0,0.9015665357720328,0.0035698536360009416,0.283905839860567
453414.03,6782385.0,-5386.407,0.482469123,0.435842635,0.552662556,-0.15092982,0.022354323,0.9882917,0,8.776254347,278.4248701,1,BCU,unconformity,3,3,0.01,BCU,0,0.46473824573192823,0.07822179290649121,0.2596455345330853
455421.88,6782547.0,-5219.8975,0.693284729,0.452851937,0.570145337,-0.067591086,-0.06367102,0.9956794,0,5.328023757,226.7105965,1,BCU,unconformity,3,3,0.01,BCU,0,0.8863694588521874,0.11224039814367666,0.2946110959450676
451582.97,6782930.5,-5617.874,0.290215705,0.493117786,0.528359518,0.012524919,0.03397763,0.9993441,0,2.075296656,20.23502156,1,BCU,unconformity,3,3,0.01,BCU,0,0.08023141051215864,0.19277209634405085,0.21103945738224836
455963.0,6782618.0,-5166.078,0.7501,0.460306632,0.575796153,-0.08923455,-0.0704631,0.9935151,0,6.528662945,231.7039946,1,BCU,unconformity,3,3,0.01,BCU,0,1.0,0.1271497868587394,0.3059127275781707
451819.38,6782676.0,-5615.172,0.315037738,0.466396382,0.528643216,-0.007658713,0.014826658,0.9998607,0,0.956353012,332.6813765,1,BCU,unconformity,3,3,0.01,BCU,0,0.1298754751055174,0.13932928749921322,0.2116068541189822
453467.3,6782845.0,-5393.49,0.488062244,0.484140654,0.551918872,-0.17767005,0.04609335,0.98301005,0,10.57670744,284.5437448,1,BCU,unconformity,3,3,0.01,BCU,0,0.47592448709602403,0.17481783246886964,0.25815816551521514
453732.75,6782737.0,-5343.1553,0.515933351,0.472801119,0.557203799,-0.15410492,0.015872844,0.98792696,0,8.912178129,275.8807413,1,BCU,unconformity,3,3,0.01,BCU,0,0.5316667016652294,0.152138762310746,0.26872801915121597
455313.3,6782983.0,-5211.3706,0.681884297,0.49863006,0.571040625,-0.07170614,-0.015526952,0.997305,0,4.207407711,257.7820351,1,BCU,unconformity,3,3,0.01,BCU,0,0.8635685936876557,0.20379664433758315,0.29640167153146857
454486.2,6782890.0,-5250.1934,0.595042357,0.488865461,0.566964398,-0.06133606,-0.011282878,0.9980534,0,3.575579715,259.5768633,1,BCU,unconformity,3,3,0.01,BCU,0,0.6898847147266971,0.18426744503475448,0.2882492177820723
454685.8,6783124.0,-5240.4565,0.615999498,0.513434453,0.567986731,-0.047770217,0.012983241,0.998774,0,2.837443652,285.2048701,1,BCU,unconformity,3,3,0.01,BCU,0,0.7317989962411503,0.23340543037735567,0.29029388295080033
451664.66,6783550.0,-5648.939,0.298792804,0.558162619,0.525097827,-0.036723223,0.060083244,0.9975176,0,4.03797284,328.5664874,1,BCU,unconformity,3,3,0.01,BCU,0,0.09738560719009541,0.3228617626677322,0.2045160748409324
451263.6,6783573.5,-5657.6875,0.25668323,0.560630018,0.524179272,-0.015936974,0.08018219,0.9966528,0,4.689209922,348.7584242,1,BCU,unconformity,3,3,0.01,BCU,0,0.013166460175123105,0.3277965603410276,0.20267896516242928
453117.94,6783249.0,-5482.841,0.451380947,0.526558915,0.542537402,-0.17773612,0.053486217,0.9826236,0,10.69666559,286.7481426,1,BCU,unconformity,3,3,0.01,BCU,0,0.4025618949623041,0.25965435417148025,0.23939522479578443
454091.97,6783222.0,-5294.9697,0.553649904,0.523724031,0.562263079,-0.15077569,0.03641249,0.98789716,0,8.923192616,283.5770263,1,BCU,unconformity,3,3,0.01,BCU,0,0.607099808907827,0.25398458663194934,0.2788465802902095
452576.88,6783459.0,-5579.65,0.394571977,0.548608011,0.532372873,-0.12996721,0.022108095,0.9912718,0,7.575588317,279.653902,1,BCU,unconformity,3,3,0.01,BCU,0,0.2889439532979123,0.30375254614560954,0.21906616828710132
454203.03,6783590.0,-5300.423,0.565310726,0.562362447,0.561690506,-0.13347282,0.06972682,0.98859656,0,8.661021984,297.5827754,1,BCU,unconformity,3,3,0.01,BCU,0,0.6304214527204425,0.33126141828185207,0.2777014342411975
451703.66,6783978.0,-5662.5615,0.302887636,0.603100777,0.523667523,-0.06764671,0.029333431,0.99727803,0,4.228417465,293.4428508,1,BCU,unconformity,3,3,0.01,BCU,0,0.10557527141386228,0.4127380777388147,0.20165546712584884
453443.75,6783979.0,-5456.6826,0.485589595,0.603205773,0.545283921,-0.18063636,0.046134952,0.98246735,0,10.74479141,284.3271956,1,BCU,unconformity,3,3,0.01,BCU,0,0.4709791898532134,0.4129480691291677,0.2448882635811943
